"","folder","model","prop","propsym","depth","valtype","data","n","n_t","n_l","nt_l","n_n","nt_n","n_g","min","max","mean","median","cvRPIave","cvRPImed","cvRPIall","PICP","Rsq","RMSE","MAE","MedAE","Bias","Rsq_l","RMSE_l","MAE_l","MedAE_l","Bias_l","Rsq_n","RMSE_n","MAE_n","MedAE_n","Bias_n","Rsq_g","RMSE_g","MAE_g","MedAE_g","Bias_g","sRsq","sRMSE","sMAE","sMedAE","sBias","sRsq_l","sRMSE_l","sMAE_l","sMedAE_l","sBias_l","sRsq_n","sRMSE_n","sMAE_n","sMedAE_n","sBias_n","sRsq_g","sRMSE_g","sMAE_g","sMedAE_g","sBias_g","bestval","gRPIave","gRPImed","gRPIall"
"11","CACO3_gRPI_250k","CACO3_30_cm","CACO3_250k","caco3","30","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home_adjacent",491456,396911,40384,16545,220169,149463,230903,0,95,3.68679124539254,0,0.403856058722209,0.145535103725467,0.274695581223838,0.989619839208286,0.733595557904303,6.0150085690374,2.12520796838301,0.0929091901908989,0.236882135724798,0.549086024698581,5.1050377263508,1.24900582235431,0.0587411106971311,0.245987722541177,0.732169068534384,6.16486225691269,1.97489092145903,0.0589705366234504,0.204630085182537,0.736234537994338,5.97695044579932,2.28529077930553,0.187614040670754,0.255007639004733,0.663668091535218,6.76067636103808,2.44910884086174,0.182067459047806,0.304675042605854,0.481292445027997,5.4453027924408,1.39778493631377,0.0579905973264114,0.361843712027629,0.573515328462359,7.67622985184835,2.66566671073743,0.198144294609081,0.353092395855876,0.718569628285914,6.18880803011256,2.38426241225542,0.212075223113577,0.27547751781937,"s10cv10f",0.616715120306502,0.382823940098018,0.49976953020226
"12","CACO3_gRPI_250k","CACO3_60_cm","CACO3_250k","caco3","60","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",463738,355626,38437,15476,207816,122665,217485,0,97,4.50787906396045,0,0.455023623038446,0.233333333333333,0.34417847818589,0.988417607261561,0.75773159005535,6.51319131901355,2.38015323128493,0.16110322665739,0.218478869813876,0.557088889194889,6.4304613578526,1.72074381301679,0.0622126152824896,0.253226933241635,0.766321219947256,6.92833372856529,2.28718029459425,0.0773463165638224,0.178366820322996,0.757506036402391,6.27300313943186,2.47951431566445,0.272991625649753,0.239409801485962,0.694854499137008,7.36786784622264,2.76554858993792,0.285215695102506,0.285040924769936,0.528183628848749,6.63389470746311,1.81121671476145,0.0614756705077557,0.343729716414175,0.61752618034312,8.80143031777499,3.20924442802344,0.33827725443534,0.332314343363231,0.740684708671085,6.4763455774123,2.58320631401761,0.309050753546746,0.256977416861205,"s10cv10f",0.607887202634542,0.471939147135152,0.539913174884847
"13","CACO3_gRPI_250k","CACO3_100_cm","CACO3_250k","caco3","100","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",425251,325408,34140,13756,192324,112865,198787,0,96,6.07056065001475,0,0.393874485537416,0.256410256410256,0.325142370973836,0.987369702035598,0.775514331206795,6.91772522929015,2.86890514657709,0.384548342499303,0.183012235364797,0.598240898923476,6.54921125209187,1.98431159415422,0.0715730264683444,0.200039070143861,0.788149349762039,7.39945847337391,2.93325048928926,0.331708675560642,0.13024973557146,0.77159334625825,6.65450283756898,2.89358549188096,0.494353719836743,0.217138433216208,0.713399360860156,8.01518516674777,3.43457781636061,0.575037990505541,0.264081548835592,0.566282993850792,6.89500587380706,2.17579317746748,0.0707610790846516,0.294190900506148,0.651112637000856,9.77778738570365,4.29760670570585,0.787938190369323,0.305445174642061,0.754772645819577,6.89874296636687,3.03168469908766,0.544722269145179,0.235921081787925,"s10cv10f",0.466192313434629,0.416666666666667,0.441429490050648
"14","CACO3_gRPI_250k","CACO3_150_cm","CACO3_250k","caco3","150","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",399519,306033,27559,11225,183892,106740,188068,0,96,6.91220881408214,0,0.384368313130378,0.256410256410256,0.320389284770317,0.986854358843654,0.808597715087259,6.27451991792229,2.78664268273361,0.561921532420443,0.135420970326119,0.597714085781613,6.22529548151528,1.95309105945187,0.0695466050727356,0.166469507614736,0.836654916215102,6.16592681755404,2.68592056410117,0.52024587222199,0.0513878192997969,0.794623304673456,6.33822284990249,2.89355983990105,0.658343350074738,0.192269885664357,0.7558618020643,7.15323111678629,3.28138386351777,0.777020753644881,0.196361796516149,0.562105241937233,6.56185349309614,2.13039286899405,0.0688179800142927,0.226568088197967,0.724453189770498,8.12628278086783,3.83732263911178,1.03191188200324,0.174719268258985,0.779425227936137,6.57377070860897,3.03455276522686,0.714864435964753,0.21043741351236,"s10cv10f",0.454965602874139,0.396354709826135,0.425660156350137
"15","CEC7_gRPI_250k","CEC7_0_cm","CEC7_250k","cec7","0","cv10f","geo_gps_srce_scd_direct_home",415833,239587,25989,10255,191564,31052,198280,0,252,18.5704516515238,14.7,0.426842328786302,0.271396103896104,0.349119216341203,0.971605304127519,0.558252709510824,12.7438982491613,6.03626628428253,2.808620374265,-0.00967772574526083,0.403641840110256,14.3974177530084,7.81500713449249,4.08834745940836,0.036540445256926,0.691562082617206,11.9742921359137,5.20580066017924,2.21193402120172,0.00908859265068617,0.538704006472009,12.7696906672866,6.07432676007813,2.85978846941187,-0.0152240713164004,0.461922016303002,14.0696019159473,7.11385922289302,3.57910546023698,-0.0222308706010382,0.310812613194993,15.4797791780511,9.02048756925541,5.09293835345691,0.0415100197529209,0.47563184572306,15.6201458154184,7.99612719444091,4.28879144047582,-0.0281015670432898,0.466837381989819,13.7327748908297,6.87707962462567,3.41214206083789,-0.0248649153042177,"s50cv10f",0.664866546710952,0.439645309548511,0.552255928129731
"16","CEC7_gRPI_250k","CEC7_5_cm","CEC7_250k","cec7","5","cv10f","geo_gps_gps2_gps3_unk_srce_scd_direct_home",427828,401111,27745,27745,195986,169269,204097,0,265,17.7729040005053,15,0.627110169273928,0.429521276595744,0.528315722934836,0.966881985285869,0.500410056510308,11.7071611812109,5.3417491852746,2.61110881570205,-0.00942420818273966,0.32998121306044,12.8230956461781,7.1373601464045,4.02326155180981,0.0375089327569084,0.504561114248186,11.5001098985392,4.81798115621592,2.21344581964303,-0.00398409487897484,0.517475329164169,11.7184258931583,5.53204333165688,2.81680842023042,-0.0206611896169462,0.375972621568526,13.0980033119986,6.67563337775002,3.66896193269243,-0.0354478966903354,0.216983798744133,13.8497048034906,8.13084818407329,4.91873545328926,0.0251153205314366,0.298247921429949,13.7133338622449,6.96365187714274,3.92007797852969,-0.048293694962949,0.455622614904271,12.4547752396621,6.23894132360349,3.3473651833482,-0.0333720513187413,"s50cv10f",1.02999849161785,0.693750028346073,0.861874259981961
"17","CEC7_gRPI_250k","CEC7_15_cm","CEC7_250k","cec7","15","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",425004,327418,28174,11525,194495,113558,202335,0,252,17.8210794631277,15.1000003814697,0.668493091502705,0.494688204276344,0.581590647889525,0.970441454043455,0.503380852999967,11.1284134428642,5.24259270293206,2.77699579093539,-0.00810838468328348,0.350495009704805,12.0657314281271,6.46224496816214,3.72765674792723,0.0131787527108889,0.521434504773537,10.6364903796729,4.70526842542128,2.34610940318183,0.0044186822169284,0.501653444220331,11.3407335595326,5.47468788146663,2.99375766430364,-0.016292711859748,0.388483843649212,12.3572635774838,6.49322520129348,3.86917823135536,-0.0271612740014226,0.230582035229447,13.1384135734525,7.60305165842611,4.78555066002642,-0.0281547528601177,0.301595789913538,12.8599858823929,6.97667680982606,4.39766138325725,-0.0296485077896151,0.440722691028504,12.0188430717925,6.15867829798859,3.55577415248108,-0.0257058831382205,"s50cv10f",1.0677677948794,0.734411056507812,0.901089425693606
"18","CEC7_gRPI_250k","CEC7_30_cm","CEC7_250k","cec7","30","cv10f","geo_gps_gps2_gps3_unk_srce_scd_direct_home",404942,379514,27973,27973,185726,160298,191243,0,224.3,18.7060645899403,16.8,0.725142369576044,0.562147892018777,0.643645130797411,0.967057868747925,0.461684063588718,11.4809352873065,5.60337772737032,3.14928489681968,-0.00768938501385438,0.340920106777079,11.2416318883503,6.70621835723991,4.42045679889705,-0.0142552348907318,0.460299881023625,11.3198029145427,5.12381453597838,2.70671544677488,-0.0043341076919151,0.474392430628595,11.6484628015831,5.84403102978874,3.39056743582315,-0.0096942919586498,0.387463109578729,12.2491463232774,6.378562341068,3.9107479608862,-0.0150761333343711,0.236798200281021,12.1123342424421,7.46277116503722,5.22238800295155,-0.039636525308834,0.319944454562474,12.7102257378187,6.55360435794355,4.08775086016843,-0.0163349056419681,0.454289906415106,11.8694140302811,6.07325726504426,3.60218176085324,-0.0108137910614915,"s10cv10f",1.04711967894626,0.761904787855084,0.904512233400673
"19","CEC7_gRPI_250k","CEC7_60_cm","CEC7_250k","cec7","60","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",377732,287958,26242,10558,174538,100448,176952,0,206.8000031,18.325318957436,16.5,0.717320162184037,0.562790671060252,0.640055416622144,0.970589460963057,0.454666949750427,11.5182830025008,5.61672338923232,3.15229503221696,-0.00747041800580854,0.343347290590567,11.1013568350364,6.81824029462152,4.63019033002815,-0.0675838118332549,0.462566435383985,11.1517029838214,4.9805180994608,2.60289628767328,-0.00102311900131386,0.45484491394122,11.7452530826034,5.90618004109197,3.43378023967869,-0.00804316162163267,0.389485549176218,12.1893567054602,6.34519285852363,3.87684335274202,-0.014739600259871,0.257981550438096,11.8881076996968,7.67648935670461,5.63187220669341,-0.113870918303184,0.315067214467802,12.5930415586531,6.5865468011425,4.17111012212519,-0.0163024069308064,0.433578752494955,11.9722260140272,6.12875365887641,3.63183905138494,-0.0085318437577525,"s10cv10f",1.07189282058708,0.769053156072001,0.920472988329543
"20","CEC7_gRPI_250k","CEC7_100_cm","CEC7_250k","cec7","100","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",350588,266455,23202,9338,165180,94911,162206,0,200,16.1897393564419,14.7,0.673966962269003,0.552261603422983,0.613114282845993,0.970028710288792,0.473714625095156,9.78747415993735,4.95418607071169,2.8629433177174,-0.00794416515905619,0.296975921121346,10.4774455577163,6.50561402093605,4.49053544480145,-0.0511753972096621,0.490243011020619,9.74111196057725,4.44749136981396,2.44136126388923,-0.00499259212021333,0.472228702498183,9.77340667183386,5.16135267711164,3.09847478578711,-0.00730324755871894,0.394062696704055,10.5040348383928,5.6685012023292,3.59896788524152,-0.0152392239680112,0.220396142868874,11.0890329119436,7.1703710125303,5.30466915386631,-0.0891723041293924,0.331541991992881,11.1591227749399,5.99501222336788,4.01642856146419,-0.019470411005132,0.440291000441887,10.0649817322702,5.39099021133343,3.29561787532861,-0.00851679709508286,"s10cv10f",1.00022608953178,0.783837816067253,0.892031952799514
